username,repo_name,stars,repo_url
dotnet,aspnetcore,31300,https://github.com/dotnet/aspnetcore
files-community,Files,27100,https://github.com/files-community/Files
SeleniumHQ,selenium,26200,https://github.com/SeleniumHQ/selenium
jellyfin,jellyfin,21400,https://github.com/jellyfin/jellyfin
dotnet,core,18800,https://github.com/dotnet/core
dotnet,maui,18700,https://github.com/dotnet/maui
dotnet,corefx,17800,https://github.com/dotnet/corefx
AvaloniaUI,Avalonia,17400,https://github.com/AvaloniaUI/Avalonia
icsharpcode,ILSpy,17400,https://github.com/icsharpcode/ILSpy
Ryujinx,Ryujinx,17000,https://github.com/Ryujinx/Ryujinx
quozd,awesome-dotnet,16400,https://github.com/quozd/awesome-dotnet
pulumi,pulumi,15500,https://github.com/pulumi/pulumi
microsoft,react-native-windows,15300,https://github.com/microsoft/react-native-windows
MoienTajik,AspNetCore-Developer-Roadmap,14900,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
BeyondDimension,SteamTools,13100,https://github.com/BeyondDimension/SteamTools
dotnet,coreclr,12800,https://github.com/dotnet/coreclr
OpenRA,OpenRA,12600,https://github.com/OpenRA/OpenRA
ardalis,CleanArchitecture,12400,https://github.com/ardalis/CleanArchitecture
bitwarden,server,12200,https://github.com/bitwarden/server
App-vNext,Polly,11700,https://github.com/App-vNext/Polly
