username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,87200,https://github.com/angular/angular
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,55600,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
prettier,prettier,45200,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
angular,angular-cli,26000,https://github.com/angular/angular-cli
angular,components,23400,https://github.com/angular/components
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,21100,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,20400,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,19000,https://github.com/pubkey/rxdb
nrwl,nx,17000,https://github.com/nrwl/nx
teambit,bit,16500,https://github.com/teambit/bit
sweetalert2,sweetalert2,15700,https://github.com/sweetalert2/sweetalert2
sudheerj,javascript-interview-questions,15300,https://github.com/sudheerj/javascript-interview-questions
wailsapp,wails,14900,https://github.com/wailsapp/wails
codesandbox,codesandbox-client,12300,https://github.com/codesandbox/codesandbox-client
