username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,134000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,65900,https://github.com/nvm-sh/nvm
junegunn,fzf,51300,https://github.com/junegunn/fzf
google,zx,36900,https://github.com/google/zx
starship,starship,33500,https://github.com/starship/starship
dylanaraps,pure-bash-bible,33200,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,31800,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,30900,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,28900,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,27000,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,23400,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,21700,https://github.com/withfig/autocomplete
dylanaraps,neofetch,17700,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,16800,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14900,https://github.com/rbenv/rbenv
faressoft,terminalizer,13900,https://github.com/faressoft/terminalizer
shelljs,shelljs,13800,https://github.com/shelljs/shelljs
powerline,powerline,13700,https://github.com/powerline/powerline
kingToolbox,WindTerm,13600,https://github.com/kingToolbox/WindTerm
