username,repo_name,stars,repo_url
files-community,Files,27100,https://github.com/files-community/Files
microsoft,calculator,26900,https://github.com/microsoft/calculator
ShareX,ShareX,23800,https://github.com/ShareX/ShareX
doocs,leetcode,21700,https://github.com/doocs/leetcode
jellyfin,jellyfin,21400,https://github.com/jellyfin/jellyfin
mxgmn,WaveFunctionCollapse,21000,https://github.com/mxgmn/WaveFunctionCollapse
dotnet,corefx,17800,https://github.com/dotnet/corefx
thangchung,awesome-dotnet-core,17700,https://github.com/thangchung/awesome-dotnet-core
AvaloniaUI,Avalonia,17400,https://github.com/AvaloniaUI/Avalonia
dotnet,roslyn,17200,https://github.com/dotnet/roslyn
Ryujinx,Ryujinx,17000,https://github.com/Ryujinx/Ryujinx
quozd,awesome-dotnet,16400,https://github.com/quozd/awesome-dotnet
pulumi,pulumi,15500,https://github.com/pulumi/pulumi
MoienTajik,AspNetCore-Developer-Roadmap,14900,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
antlr,antlr4,14100,https://github.com/antlr/antlr4
veler,DevToys,13800,https://github.com/veler/DevToys
BeyondDimension,SteamTools,13100,https://github.com/BeyondDimension/SteamTools
serverless-stack,sst,12900,https://github.com/serverless-stack/sst
OpenRA,OpenRA,12600,https://github.com/OpenRA/OpenRA
ardalis,CleanArchitecture,12400,https://github.com/ardalis/CleanArchitecture
