username,repo_name,stars,repo_url
twbs,bootstrap,163000,https://github.com/twbs/bootstrap
electron,electron,107000,https://github.com/electron/electron
animate-css,animate.css,77500,https://github.com/animate-css/animate.css
FortAwesome,Font-Awesome,71200,https://github.com/FortAwesome/Font-Awesome
microsoft,Web-Dev-For-Beginners,68300,https://github.com/microsoft/Web-Dev-For-Beginners
tailwindlabs,tailwindcss,66800,https://github.com/tailwindlabs/tailwindcss
thedaviddias,Front-End-Checklist,64700,https://github.com/thedaviddias/Front-End-Checklist
h5bp,html5-boilerplate,54200,https://github.com/h5bp/html5-boilerplate
necolas,normalize.css,50100,https://github.com/necolas/normalize.css
jgthms,bulma,47000,https://github.com/jgthms/bulma
prettier,prettier,45200,https://github.com/prettier/prettier
juliangarnier,anime,44800,https://github.com/juliangarnier/anime
parcel-bundler,parcel,42200,https://github.com/parcel-bundler/parcel
vercel,hyper,40600,https://github.com/vercel/hyper
Dogfalo,materialize,38800,https://github.com/Dogfalo/materialize
styled-components,styled-components,38500,https://github.com/styled-components/styled-components
yangshun,front-end-interview-handbook,37000,https://github.com/yangshun/front-end-interview-handbook
evanw,esbuild,35000,https://github.com/evanw/esbuild
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
tabler,tabler,33600,https://github.com/tabler/tabler
