username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,157000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,51300,https://github.com/junegunn/fzf
sharkdp,bat,40500,https://github.com/sharkdp/bat
sherlock-project,sherlock,40100,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,36900,https://github.com/BurntSushi/ripgrep
google,zx,36900,https://github.com/google/zx
wagoodman,dive,36300,https://github.com/wagoodman/dive
chubin,cheat.sh,35000,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,33700,https://github.com/jesseduffield/lazygit
cli,cli,31900,https://github.com/cli/cli
spf13,cobra,31300,https://github.com/spf13/cobra
n8n-io,n8n,29200,https://github.com/n8n-io/n8n
httpie,httpie,27100,https://github.com/httpie/httpie
alebcay,awesome-shell,27000,https://github.com/alebcay/awesome-shell
sharkdp,fd,26900,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,26300,https://github.com/ibraheemdev/modern-unix
angular,angular-cli,26000,https://github.com/angular/angular-cli
tqdm,tqdm,24400,https://github.com/tqdm/tqdm
google,python-fire,24300,https://github.com/google/python-fire
vercel,pkg,23000,https://github.com/vercel/pkg
