username,repo_name,stars,repo_url
bitcoin,bitcoin,68900,https://github.com/bitcoin/bitcoin
ccxt,ccxt,27700,https://github.com/ccxt/ccxt
freqtrade,freqtrade,21200,https://github.com/freqtrade/freqtrade
OpenBB-finance,OpenBBTerminal,20300,https://github.com/OpenBB-finance/OpenBBTerminal
monero-project,monero,7700,https://github.com/monero-project/monero
xmrig,xmrig,7500,https://github.com/xmrig/xmrig
dvf,blockchain,7300,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,6800,https://github.com/lightningnetwork/lnd
hummingbot,hummingbot,5600,https://github.com/hummingbot/hummingbot
StockSharp,StockSharp,5600,https://github.com/StockSharp/StockSharp
tendermint,tendermint,5500,https://github.com/tendermint/tendermint
sea-protocol,seaprotocol,5200,https://github.com/sea-protocol/seaprotocol
sammchardy,python-binance,5100,https://github.com/sammchardy/python-binance
cosmos,cosmos-sdk,5100,https://github.com/cosmos/cosmos-sdk
mimblewimble,grin,5000,https://github.com/mimblewimble/grin
jesse-ai,jesse,4600,https://github.com/jesse-ai/jesse
chrisleekr,binance-trading-bot,4400,https://github.com/chrisleekr/binance-trading-bot
litecoin-project,litecoin,4200,https://github.com/litecoin-project/litecoin
coinpride,CryptoList,4000,https://github.com/coinpride/CryptoList
