username,repo_name,stars,repo_url
crystal-lang,crystal,18300,https://github.com/crystal-lang/crystal
kemalcr,kemal,3500,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3100,https://github.com/veelenga/awesome-crystal
amberframework,amber,2500,https://github.com/amberframework/amber
luckyframework,lucky,2400,https://github.com/luckyframework/lucky
getmango,Mango,1400,https://github.com/getmango/Mango
ffwff,lilith,1100,https://github.com/ffwff/lilith
drujensen,fib,809,https://github.com/drujensen/fib
vitobotta,hetzner-k3s,755,https://github.com/vitobotta/hetzner-k3s
amethyst-framework,amethyst,646,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,537,https://github.com/askn/crystal-by-example
crystal-community,icr,492,https://github.com/crystal-community/icr
crystal-ameba,ameba,462,https://github.com/crystal-ameba/ameba
will,crystal-pg,432,https://github.com/will/crystal-pg
vim-crystal,vim-crystal,396,https://github.com/vim-crystal/vim-crystal
imdrasil,jennifer.cr,390,https://github.com/imdrasil/jennifer.cr
hanabi1224,Programming-Language-Benchmarks,387,https://github.com/hanabi1224/Programming-Language-Benchmarks
stefanwille,crystal-redis,377,https://github.com/stefanwille/crystal-redis
crystal-lang,crystal-book,362,https://github.com/crystal-lang/crystal-book
cooperhammond,irs,357,https://github.com/cooperhammond/irs
