username,repo_name,stars,repo_url
jwasham,coding-interview-university,253000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,166000,https://github.com/trekhleb/javascript-algorithms
labuladong,fucking-algorithm,115000,https://github.com/labuladong/fucking-algorithm
TheAlgorithms,Java,50900,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,50900,https://github.com/azl397985856/leetcode
huihut,interview,28300,https://github.com/huihut/interview
kodecocodes,swift-algorithm-club,27600,https://github.com/kodecocodes/swift-algorithm-club
TheAlgorithms,JavaScript,25900,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,23800,https://github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,C,15900,https://github.com/TheAlgorithms/C
TheAlgorithms,Rust,15100,https://github.com/TheAlgorithms/Rust
OI-wiki,OI-wiki,13800,https://github.com/OI-wiki/OI-wiki
TheAlgorithms,Go,12300,https://github.com/TheAlgorithms/Go
kunal-kushwaha,DSA-Bootcamp-Java,11200,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
careercup,CtCI-6th-Edition,10600,https://github.com/careercup/CtCI-6th-Edition
gyoogle,tech-interview-for-developer,10100,https://github.com/gyoogle/tech-interview-for-developer
krahets,hello-algo,9200,https://github.com/krahets/hello-algo
AkashSingh3031,The-Complete-FAANG-Preparation,8900,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
seanprashad,leetcode-patterns,8100,https://github.com/seanprashad/leetcode-patterns
changgyhub,leetcode_101,7200,https://github.com/changgyhub/leetcode_101
