username,repo_name,stars,repo_url
d3,d3,105000,https://github.com/d3/d3
grafana,grafana,54700,https://github.com/grafana/grafana
apache,echarts,54700,https://github.com/apache/echarts
apache,superset,51300,https://github.com/apache/superset
pixijs,pixijs,39400,https://github.com/pixijs/pixijs
metabase,metabase,31900,https://github.com/metabase/metabase
streamlit,streamlit,23600,https://github.com/streamlit/streamlit
academic,awesome-datascience,21000,https://github.com/academic/awesome-datascience
directus,directus,20800,https://github.com/directus/directus
microsoft,Data-Science-For-Beginners,18500,https://github.com/microsoft/Data-Science-For-Beginners
plotly,dash,18400,https://github.com/plotly/dash
matplotlib,matplotlib,17100,https://github.com/matplotlib/matplotlib
airbnb,visx,16900,https://github.com/airbnb/visx
plotly,plotly.js,15500,https://github.com/plotly/plotly.js
gradio-app,gradio,15000,https://github.com/gradio-app/gradio
ml-tooling,best-of-ml-python,13200,https://github.com/ml-tooling/best-of-ml-python
apexcharts,apexcharts.js,12400,https://github.com/apexcharts/apexcharts.js
newTendermint,awesome-bigdata,11800,https://github.com/newTendermint/awesome-bigdata
terkelg,awesome-creative-coding,10800,https://github.com/terkelg/awesome-creative-coding
visgl,deck.gl,10700,https://github.com/visgl/deck.gl
