username,repo_name,stars,repo_url
etcd-io,etcd,43000,https://github.com/etcd-io/etcd
meilisearch,meilisearch,35300,https://github.com/meilisearch/meilisearch
pingcap,tidb,33700,https://github.com/pingcap/tidb
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
metabase,metabase,31900,https://github.com/metabase/metabase
dbeaver,dbeaver,31300,https://github.com/dbeaver/dbeaver
typeorm,typeorm,30900,https://github.com/typeorm/typeorm
prisma,prisma,30200,https://github.com/prisma/prisma
huihut,interview,28300,https://github.com/huihut/interview
cockroachdb,cockroach,26900,https://github.com/cockroachdb/cockroach
sqlmapproject,sqlmap,26600,https://github.com/sqlmapproject/sqlmap
influxdata,influxdb,25200,https://github.com/influxdata/influxdb
facebook,rocksdb,24900,https://github.com/facebook/rocksdb
mongodb,mongo,23500,https://github.com/mongodb/mongo
taosdata,TDengine,21100,https://github.com/taosdata/TDengine
directus,directus,20800,https://github.com/directus/directus
PostgREST,postgrest,20300,https://github.com/PostgREST/postgrest
typicode,lowdb,19300,https://github.com/typicode/lowdb
surrealdb,surrealdb,19200,https://github.com/surrealdb/surrealdb
