username,repo_name,stars,repo_url
tensorflow,tensorflow,173000,https://github.com/tensorflow/tensorflow
huggingface,transformers,89400,https://github.com/huggingface/transformers
opencv,opencv,67700,https://github.com/opencv/opencv
pytorch,pytorch,64700,https://github.com/pytorch/pytorch
keras-team,keras,57800,https://github.com/keras-team/keras
AUTOMATIC1111,stable-diffusion-webui,57100,https://github.com/AUTOMATIC1111/stable-diffusion-webui
Developer-Y,cs-video-courses,54200,https://github.com/Developer-Y/cs-video-courses
deepfakes,faceswap,44200,https://github.com/deepfakes/faceswap
aymericdamien,TensorFlow-Examples,42700,https://github.com/aymericdamien/TensorFlow-Examples
d2l-ai,d2l-zh,41200,https://github.com/d2l-ai/d2l-zh
CorentinJ,Real-Time-Voice-Cloning,40600,https://github.com/CorentinJ/Real-Time-Voice-Cloning
Avik-Jain,100-Days-Of-ML-Code,40500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
iperov,DeepFaceLab,38300,https://github.com/iperov/DeepFaceLab
ultralytics,yolov5,36900,https://github.com/ultralytics/yolov5
floodsung,Deep-Learning-Papers-Reading-Roadmap,35000,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
BVLC,caffe,33200,https://github.com/BVLC/caffe
GokuMohandas,Made-With-ML,32900,https://github.com/GokuMohandas/Made-With-ML
naptha,tesseract.js,30000,https://github.com/naptha/tesseract.js
babysor,MockingBird,27700,https://github.com/babysor/MockingBird
TencentARC,GFPGAN,27700,https://github.com/TencentARC/GFPGAN
