username,repo_name,stars,repo_url
GetStream,vg,1300,https://github.com/GetStream/vg
pointfreeco,swift-dependencies,792,https://github.com/pointfreeco/swift-dependencies
ehmicky,nve,611,https://github.com/ehmicky/nve
coenjacobs,mozart,370,https://github.com/coenjacobs/mozart
thoth-station,micropipenv,209,https://github.com/thoth-station/micropipenv
bureado,awesome-software-supply-chain-security,152,https://github.com/bureado/awesome-software-supply-chain-security
netlify,framework-info,129,https://github.com/netlify/framework-info
aaronpeikert,reproducible-research,118,https://github.com/aaronpeikert/reproducible-research
momosecurity,mosec-maven-plugin,89,https://github.com/momosecurity/mosec-maven-plugin
pichillilorenzo,deps-report,86,https://github.com/pichillilorenzo/deps-report
silverwind,updates,82,https://github.com/silverwind/updates
abdes,asap,79,https://github.com/abdes/asap
stempler,bnd-platform,79,https://github.com/stempler/bnd-platform
pilosus,pip-license-checker,61,https://github.com/pilosus/pip-license-checker
Zlagi,Blogfy,54,https://github.com/Zlagi/Blogfy
saadmk11,github-actions-version-updater,54,https://github.com/saadmk11/github-actions-version-updater
MarcoEidinger,swift-package-dependencies-check,51,https://github.com/MarcoEidinger/swift-package-dependencies-check
ewohltman,graphdot,50,https://github.com/ewohltman/graphdot
kevcodez,gradle-upgrade-interactive,49,https://github.com/kevcodez/gradle-upgrade-interactive
depscloud,depscloud,43,https://github.com/depscloud/depscloud
