username,repo_name,stars,repo_url
django,django,69600,https://github.com/django/django
getsentry,sentry,33800,https://github.com/getsentry/sentry
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
encode,django-rest-framework,25300,https://github.com/encode/django-rest-framework
kataras,iris,23800,https://github.com/kataras/iris
jumpserver,jumpserver,20200,https://github.com/jumpserver/jumpserver
saleor,saleor,18300,https://github.com/saleor/saleor
wagtail,wagtail,14500,https://github.com/wagtail/wagtail
ansible,awx,12100,https://github.com/ansible/awx
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
cookiecutter,cookiecutter-django,10400,https://github.com/cookiecutter/cookiecutter-django
django-cms,django-cms,9200,https://github.com/django-cms/django-cms
wsvincent,awesome-django,6800,https://github.com/wsvincent/awesome-django
healthchecks,healthchecks,6100,https://github.com/healthchecks/healthchecks
django-oscar,django-oscar,5700,https://github.com/django-oscar/django-oscar
graphite-project,graphite-web,5600,https://github.com/graphite-project/graphite-web
arachnys,cabot,5400,https://github.com/arachnys/cabot
jonaswinkler,paperless-ng,5400,https://github.com/jonaswinkler/paperless-ng
LibrePhotos,librephotos,5300,https://github.com/LibrePhotos/librephotos
QingdaoU,OnlineJudge,5300,https://github.com/QingdaoU/OnlineJudge
