username,repo_name,stars,repo_url
moby,moby,65600,https://github.com/moby/moby
macrozheng,mall,64500,https://github.com/macrozheng/mall
netdata,netdata,62500,https://github.com/netdata/netdata
traefik,traefik,42400,https://github.com/traefik/traefik
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
mastodon,mastodon,41000,https://github.com/mastodon/mastodon
wagoodman,dive,36300,https://github.com/wagoodman/dive
Kong,kong,34400,https://github.com/Kong/kong
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
louislam,uptime-kuma,31600,https://github.com/louislam/uptime-kuma
appwrite,appwrite,30300,https://github.com/appwrite/appwrite
sickcodes,Docker-OSX,29600,https://github.com/sickcodes/Docker-OSX
n8n-io,n8n,29200,https://github.com/n8n-io/n8n
docker,compose,29000,https://github.com/docker/compose
ityouknow,spring-boot-examples,28700,https://github.com/ityouknow/spring-boot-examples
harness,drone,26700,https://github.com/harness/drone
portainer,portainer,25000,https://github.com/portainer/portainer
veggiemonk,awesome-docker,24900,https://github.com/veggiemonk/awesome-docker
dokku,dokku,24400,https://github.com/dokku/dokku
dani-garcia,vaultwarden,24100,https://github.com/dani-garcia/vaultwarden
