username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,134000,https://github.com/jlevy/the-art-of-command-line
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
mermaid-js,mermaid,56100,https://github.com/mermaid-js/mermaid
tldr-pages,tldr,43700,https://github.com/tldr-pages/tldr
facebook,docusaurus,43400,https://github.com/facebook/docusaurus
chubin,cheat.sh,35000,https://github.com/chubin/cheat.sh
satwikkansal,wtfpython,32500,https://github.com/satwikkansal/wtfpython
freeCodeCamp,devdocs,31200,https://github.com/freeCodeCamp/devdocs
charlax,professional-programming,23200,https://github.com/charlax/professional-programming
doczjs,docz,23200,https://github.com/doczjs/docz
docsifyjs,docsify,23100,https://github.com/docsifyjs/docsify
requarks,wiki,20500,https://github.com/requarks/wiki
shimohq,chinese-programmer-wrong-pronunciation,19900,https://github.com/shimohq/chinese-programmer-wrong-pronunciation
mkdocs,mkdocs,16200,https://github.com/mkdocs/mkdocs
nhn,tui.editor,15800,https://github.com/nhn/tui.editor
SimulatedGREG,electron-vue,15300,https://github.com/SimulatedGREG/electron-vue
jsdoc,jsdoc,13600,https://github.com/jsdoc/jsdoc
squidfunk,mkdocs-material,13300,https://github.com/squidfunk/mkdocs-material
pandao,editor.md,12900,https://github.com/pandao/editor.md
sparanoid,chinese-copywriting-guidelines,12600,https://github.com/sparanoid/chinese-copywriting-guidelines
