username,repo_name,stars,repo_url
airbnb,javascript,133000,https://github.com/airbnb/javascript
goldbergyoni,nodebestpractices,87800,https://github.com/goldbergyoni/nodebestpractices
standard,standard,28000,https://github.com/standard/standard
eslint,eslint,22500,https://github.com/eslint/eslint
electron-react-boilerplate,electron-react-boilerplate,21100,https://github.com/electron-react-boilerplate/electron-react-boilerplate
verekia,js-stack-from-scratch,19800,https://github.com/verekia/js-stack-from-scratch
grab,front-end-guide,14800,https://github.com/grab/front-end-guide
typescript-eslint,typescript-eslint,13100,https://github.com/typescript-eslint/typescript-eslint
okonet,lint-staged,11600,https://github.com/okonet/lint-staged
jsx-eslint,eslint-plugin-react,8400,https://github.com/jsx-eslint/eslint-plugin-react
xojs,xo,7100,https://github.com/xojs/xo
microsoft,rushstack,4900,https://github.com/microsoft/rushstack
import-js,eslint-plugin-import,4700,https://github.com/import-js/eslint-plugin-import
bartonhammond,snowflake,4600,https://github.com/bartonhammond/snowflake
prettier,eslint-config-prettier,4500,https://github.com/prettier/eslint-config-prettier
emacs-lsp,lsp-mode,4400,https://github.com/emacs-lsp/lsp-mode
themesberg,flowbite,4200,https://github.com/themesberg/flowbite
vuejs,eslint-plugin-vue,4000,https://github.com/vuejs/eslint-plugin-vue
prettier,prettier-eslint,3700,https://github.com/prettier/prettier-eslint
ixartz,Next-js-Boilerplate,3700,https://github.com/ixartz/Next-js-Boilerplate
