username,repo_name,stars,repo_url
microsoft,vscode,144000,https://github.com/microsoft/vscode
electron,electron,107000,https://github.com/electron/electron
atom,atom,59300,https://github.com/atom/atom
Fndroid,clash_for_windows_pkg,49800,https://github.com/Fndroid/clash_for_windows_pkg
microsoft,playwright,49200,https://github.com/microsoft/playwright
marktext,marktext,39200,https://github.com/marktext/marktext
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
agalwood,Motrix,36500,https://github.com/agalwood/Motrix
laurent22,joplin,35200,https://github.com/laurent22/joplin
nativefier,nativefier,33300,https://github.com/nativefier/nativefier
typeorm,typeorm,30900,https://github.com/typeorm/typeorm
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
sindresorhus,awesome-electron,24100,https://github.com/sindresorhus/awesome-electron
quasarframework,quasar,23200,https://github.com/quasarframework/quasar
qier222,YesPlayMusic,22600,https://github.com/qier222/YesPlayMusic
notable,notable,21500,https://github.com/notable/notable
electron-react-boilerplate,electron-react-boilerplate,21100,https://github.com/electron-react-boilerplate/electron-react-boilerplate
zadam,trilium,20600,https://github.com/zadam/trilium
Molunerfinn,PicGo,20100,https://github.com/Molunerfinn/PicGo
oldj,SwitchHosts,19800,https://github.com/oldj/SwitchHosts
