username,repo_name,stars,repo_url
syl20bnr,spacemacs,22900,https://github.com/syl20bnr/spacemacs
doomemacs,doomemacs,16400,https://github.com/doomemacs/doomemacs
atlas-engineer,nyxt,8300,https://github.com/atlas-engineer/nyxt
emacs-tw,awesome-emacs,7700,https://github.com/emacs-tw/awesome-emacs
mickael-kerjean,filestash,7600,https://github.com/mickael-kerjean/filestash
magit,magit,6000,https://github.com/magit/magit
bbatsov,prelude,5000,https://github.com/bbatsov/prelude
remacs,remacs,4600,https://github.com/remacs/remacs
emacs-lsp,lsp-mode,4400,https://github.com/emacs-lsp/lsp-mode
jwiegley,use-package,4200,https://github.com/jwiegley/use-package
bbatsov,projectile,3800,https://github.com/bbatsov/projectile
clojure-emacs,cider,3400,https://github.com/clojure-emacs/cider
emacs-helm,helm,3300,https://github.com/emacs-helm/helm
emacs-evil,evil,2900,https://github.com/emacs-evil/evil
emacs-eaf,emacs-application-framework,2600,https://github.com/emacs-eaf/emacs-application-framework
radian-software,straight.el,2400,https://github.com/radian-software/straight.el
for-GET,know-your-http-well,2300,https://github.com/for-GET/know-your-http-well
flycheck,flycheck,2300,https://github.com/flycheck/flycheck
200ok-ch,organice,2100,https://github.com/200ok-ch/organice
abo-abo,swiper,2100,https://github.com/abo-abo/swiper
