username,repo_name,stars,repo_url
ethereum,go-ethereum,41700,https://github.com/ethereum/go-ethereum
ccxt,ccxt,27700,https://github.com/ccxt/ccxt
OpenZeppelin,openzeppelin-contracts,21800,https://github.com/OpenZeppelin/openzeppelin-contracts
ethereum,solidity,19800,https://github.com/ethereum/solidity
ethereumbook,ethereumbook,17600,https://github.com/ethereumbook/ethereumbook
web3,web3.js,17200,https://github.com/web3/web3.js
sismo-core,sismo-protocol,16200,https://github.com/sismo-core/sismo-protocol
trufflesuite,truffle,13800,https://github.com/trufflesuite/truffle
smartcontractkit,full-blockchain-solidity-course-py,9700,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
MetaMask,metamask-extension,9600,https://github.com/MetaMask/metamask-extension
scaffold-eth,scaffold-eth,8600,https://github.com/scaffold-eth/scaffold-eth
OffcierCia,DeFi-Developer-Road-Map,8400,https://github.com/OffcierCia/DeFi-Developer-Road-Map
smartcontractkit,full-blockchain-solidity-course-js,8300,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
ethereum,mist,7400,https://github.com/ethereum/mist
openethereum,parity-ethereum,6700,https://github.com/openethereum/parity-ethereum
AmazingAng,WTF-Solidity,6700,https://github.com/AmazingAng/WTF-Solidity
ConsenSys,smart-contract-best-practices,6600,https://github.com/ConsenSys/smart-contract-best-practices
ethers-io,ethers.js,6500,https://github.com/ethers-io/ethers.js
yeasy,blockchain_guide,6400,https://github.com/yeasy/blockchain_guide
capstone-engine,capstone,6300,https://github.com/capstone-engine/capstone
