username,repo_name,stars,repo_url
supabase,supabase,47600,https://github.com/supabase/supabase
appwrite,appwrite,30300,https://github.com/appwrite/appwrite
kriasoft,react-starter-kit,21800,https://github.com/kriasoft/react-starter-kit
pubkey,rxdb,19000,https://github.com/pubkey/rxdb
firebase,functions-samples,11600,https://github.com/firebase/functions-samples
invertase,react-native-firebase,10700,https://github.com/invertase/react-native-firebase
firebase,quickstart-android,8400,https://github.com/firebase/quickstart-android
firebase,flutterfire,7600,https://github.com/firebase/flutterfire
angular,angularfire,7400,https://github.com/angular/angularfire
nhost,nhost,6500,https://github.com/nhost/nhost
microg,GmsCore,5500,https://github.com/microg/GmsCore
Th3Wall,Fakeflix,4800,https://github.com/Th3Wall/Fakeflix
firebase,FirebaseUI-Android,4500,https://github.com/firebase/FirebaseUI-Android
rowyio,rowy,4500,https://github.com/rowyio/rowy
devias-io,material-kit-react,4500,https://github.com/devias-io/material-kit-react
kriasoft,react-firebase-starter,4500,https://github.com/kriasoft/react-firebase-starter
firebase,firebase-js-sdk,4400,https://github.com/firebase/firebase-js-sdk
firebase,firebase-ios-sdk,4400,https://github.com/firebase/firebase-ios-sdk
ThreeDotsLabs,wild-workouts-go-ddd-example,4000,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
labring,laf,3900,https://github.com/labring/laf
