username,repo_name,stars,repo_url
microsoft,playwright,49200,https://github.com/microsoft/playwright
FiloSottile,mkcert,40300,https://github.com/FiloSottile/mkcert
gorhill,uBlock,35100,https://github.com/gorhill/uBlock
iamadamdev,bypass-paywalls-chrome,34800,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,22400,https://github.com/ovity/octotree
ArchiveBox,ArchiveBox,15400,https://github.com/ArchiveBox/ArchiveBox
mozilla-mobile,firefox-ios,11300,https://github.com/mozilla-mobile/firefox-ios
Anarios,return-youtube-dislike,10900,https://github.com/Anarios/return-youtube-dislike
gildas-lormeau,SingleFile,10700,https://github.com/gildas-lormeau/SingleFile
crimx,ext-saladict,10600,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,9600,https://github.com/MetaMask/metamask-extension
microsoft,playwright-python,8300,https://github.com/microsoft/playwright-python
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
moonD4rk,HackBrowserData,7200,https://github.com/moonD4rk/HackBrowserData
arkenfox,user.js,7200,https://github.com/arkenfox/user.js
Kenshin,simpread,7000,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,6700,https://github.com/ajayyy/SponsorBlock
mozilla-mobile,fenix,6600,https://github.com/mozilla-mobile/fenix
mozilla,geckodriver,6500,https://github.com/mozilla/geckodriver
alyssaxuu,omni,6100,https://github.com/alyssaxuu/omni
