username,repo_name,stars,repo_url
pallets,flask,62400,https://github.com/pallets/flask
apache,superset,51300,https://github.com/apache/superset
Asabeneh,30-Days-Of-Python,23200,https://github.com/Asabeneh/30-Days-Of-Python
plotly,dash,18400,https://github.com/plotly/dash
jhao104,proxy_pool,17400,https://github.com/jhao104/proxy_pool
OpenEthan,SMSBoom,12200,https://github.com/OpenEthan/SMSBoom
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
humiaozuzu,awesome-flask,11200,https://github.com/humiaozuzu/awesome-flask
miguelgrinberg,flasky,8100,https://github.com/miguelgrinberg/flasky
jofpin,trape,7500,https://github.com/jofpin/trape
dvf,blockchain,7300,https://github.com/dvf/blockchain
benbusby,whoogle-search,7200,https://github.com/benbusby/whoogle-search
pyeve,eve,6600,https://github.com/pyeve/eve
joeyespo,grip,6000,https://github.com/joeyespo/grip
miguelgrinberg,Flask-SocketIO,5000,https://github.com/miguelgrinberg/Flask-SocketIO
CTFd,CTFd,4600,https://github.com/CTFd/CTFd
Python3WebSpider,ProxyPool,4500,https://github.com/Python3WebSpider/ProxyPool
cookiecutter-flask,cookiecutter-flask,4300,https://github.com/cookiecutter-flask/cookiecutter-flask
schenkd,nginx-ui,4300,https://github.com/schenkd/nginx-ui
miguelgrinberg,microblog,4200,https://github.com/miguelgrinberg/microblog
