username,repo_name,stars,repo_url
FortAwesome,Font-Awesome,71200,https://github.com/FortAwesome/Font-Awesome
tonsky,FiraCode,69400,https://github.com/tonsky/FiraCode
ryanoasis,nerd-fonts,42600,https://github.com/ryanoasis/nerd-fonts
you-dont-need,You-Dont-Need-JavaScript,18100,https://github.com/you-dont-need/You-Dont-Need-JavaScript
be5invis,Iosevka,15700,https://github.com/be5invis/Iosevka
source-foundry,Hack,15500,https://github.com/source-foundry/Hack
rsms,inter,15200,https://github.com/rsms/inter
gztchan,awesome-design,14500,https://github.com/gztchan/awesome-design
faressoft,terminalizer,13900,https://github.com/faressoft/terminalizer
adobe-fonts,source-han-sans,12400,https://github.com/adobe-fonts/source-han-sans
neutraltone,awesome-stock-resources,11400,https://github.com/neutraltone/awesome-stock-resources
lxgw,LxgwWenKai,11300,https://github.com/lxgw/LxgwWenKai
atelier-anchor,smiley-sans,10800,https://github.com/atelier-anchor/smiley-sans
cdnjs,cdnjs,9800,https://github.com/cdnjs/cdnjs
dompdf,dompdf,9500,https://github.com/dompdf/dompdf
JetBrains,JetBrainsMono,8800,https://github.com/JetBrains/JetBrainsMono
IBM,plex,8400,https://github.com/IBM/plex
snowie2000,mactype,8400,https://github.com/snowie2000/mactype
be5invis,Sarasa-Gothic,8200,https://github.com/be5invis/Sarasa-Gothic
devicons,devicon,7300,https://github.com/devicons/devicon
