username,repo_name,stars,repo_url
vuejs,vue,203000,https://github.com/vuejs/vue
laravel,laravel,73000,https://github.com/laravel/laravel
django,django,69600,https://github.com/django/django
gin-gonic,gin,67700,https://github.com/gin-gonic/gin
spring-projects,spring-boot,66400,https://github.com/spring-projects/spring-boot
tiangolo,fastapi,56100,https://github.com/tiangolo/fastapi
nestjs,nest,55600,https://github.com/nestjs/nest
rails,rails,52600,https://github.com/rails/rails
spring-projects,spring-framework,51300,https://github.com/spring-projects/spring-framework
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
scrapy,scrapy,46700,https://github.com/scrapy/scrapy
ocornut,imgui,46400,https://github.com/ocornut/imgui
meteor,meteor,43400,https://github.com/meteor/meteor
Dogfalo,materialize,38800,https://github.com/Dogfalo/materialize
apache,dubbo,38700,https://github.com/apache/dubbo
laravel,framework,29300,https://github.com/laravel/framework
symfony,symfony,28200,https://github.com/symfony/symfony
postcss,postcss,27400,https://github.com/postcss/postcss
ianstormtaylor,slate,26700,https://github.com/ianstormtaylor/slate
gofiber,fiber,25500,https://github.com/gofiber/fiber
