username,repo_name,stars,repo_url
godotengine,godot,60000,https://github.com/godotengine/godot
ocornut,imgui,46400,https://github.com/ocornut/imgui
bevyengine,bevy,23000,https://github.com/bevyengine/bevy
libgdx,libgdx,21300,https://github.com/libgdx/libgdx
leereilly,games,20800,https://github.com/leereilly/games
BabylonJS,Babylon.js,19700,https://github.com/BabylonJS/Babylon.js
cocos2d,cocos2d-x,17000,https://github.com/cocos2d/cocos2d-x
aframevr,aframe,15200,https://github.com/aframevr/aframe
OpenRA,OpenRA,12600,https://github.com/OpenRA/OpenRA
raysan5,raylib,12500,https://github.com/raysan5/raylib
SFTtech,openage,11600,https://github.com/SFTtech/openage
kitao,pyxel,11600,https://github.com/kitao/pyxel
ellisonleao,magictools,11300,https://github.com/ellisonleao/magictools
OpenDiablo2,OpenDiablo2,10400,https://github.com/OpenDiablo2/OpenDiablo2
boardgameio,boardgame.io,9500,https://github.com/boardgameio/boardgame.io
MonoGame,MonoGame,9300,https://github.com/MonoGame/MonoGame
minetest,minetest,8500,https://github.com/minetest/minetest
playcanvas,engine,8200,https://github.com/playcanvas/engine
hajimehoshi,ebiten,8100,https://github.com/hajimehoshi/ebiten
skypjack,entt,8000,https://github.com/skypjack/entt
