username,repo_name,stars,repo_url
github,gitignore,146000,https://github.com/github/gitignore
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
gogs,gogs,41900,https://github.com/gogs/gogs
sharkdp,bat,40500,https://github.com/sharkdp/bat
tiimgreen,github-cheat-sheet,40300,https://github.com/tiimgreen/github-cheat-sheet
go-gitea,gitea,35700,https://github.com/go-gitea/gitea
jesseduffield,lazygit,33700,https://github.com/jesseduffield/lazygit
cli,cli,31900,https://github.com/cli/cli
typicode,husky,29100,https://github.com/typicode/husky
github,hub,22400,https://github.com/github/hub
logseq,logseq,21400,https://github.com/logseq/logseq
git-tips,tips,20700,https://github.com/git-tips/tips
requarks,wiki,20500,https://github.com/requarks/wiki
desktop,desktop,17000,https://github.com/desktop/desktop
dandavison,delta,16900,https://github.com/dandavison/delta
decaporg,decap-cms,16400,https://github.com/decaporg/decap-cms
so-fancy,diff-so-fancy,16400,https://github.com/so-fancy/diff-so-fancy
tj,git-extras,16200,https://github.com/tj/git-extras
commitizen,cz-cli,15000,https://github.com/commitizen/cz-cli
521xueweihan,git-tips,14900,https://github.com/521xueweihan/git-tips
