username,repo_name,stars,repo_url
github,hub,22400,https://github.com/github/hub
tipsy,profile-summary-for-github,19700,https://github.com/tipsy/profile-summary-for-github
lowlighter,metrics,10100,https://github.com/lowlighter/metrics
rzashakeri,beautify-github-profile,9500,https://github.com/rzashakeri/beautify-github-profile
google,go-github,9300,https://github.com/google/go-github
devhubapp,devhub,8800,https://github.com/devhubapp/devhub
donnemartin,gitsome,7400,https://github.com/donnemartin/gitsome
github-changelog-generator,github-changelog-generator,7100,https://github.com/github-changelog-generator/github-changelog-generator
PyGithub,PyGithub,5900,https://github.com/PyGithub/PyGithub
michenriksen,gitrob,5600,https://github.com/michenriksen/gitrob
cloudquery,cloudquery,4300,https://github.com/cloudquery/cloudquery
manosim,gitify,3900,https://github.com/manosim/gitify
octokit,octokit.rb,3700,https://github.com/octokit/octokit.rb
eth0izzle,shhgit,3700,https://github.com/eth0izzle/shhgit
nslogx,Gitter,3600,https://github.com/nslogx/Gitter
async-labs,builderbook,3500,https://github.com/async-labs/builderbook
actions,github-script,3200,https://github.com/actions/github-script
QasimWani,LeetHub,3100,https://github.com/QasimWani/LeetHub
leonhartX,gas-github,2800,https://github.com/leonhartX/gas-github
jonan,ForkHub,2800,https://github.com/jonan/ForkHub
