username,repo_name,stars,repo_url
golang,go,110000,https://github.com/golang/go
avelino,awesome-go,99100,https://github.com/avelino/awesome-go
kubernetes,kubernetes,97100,https://github.com/kubernetes/kubernetes
gin-gonic,gin,67700,https://github.com/gin-gonic/gin
gohugoio,hugo,66300,https://github.com/gohugoio/hugo
fatedier,frp,65900,https://github.com/fatedier/frp
moby,moby,65600,https://github.com/moby/moby
grafana,grafana,54700,https://github.com/grafana/grafana
junegunn,fzf,51300,https://github.com/junegunn/fzf
syncthing,syncthing,50300,https://github.com/syncthing/syncthing
caddyserver,caddy,46600,https://github.com/caddyserver/caddy
etcd-io,etcd,43000,https://github.com/etcd-io/etcd
traefik,traefik,42400,https://github.com/traefik/traefik
gogs,gogs,41900,https://github.com/gogs/gogs
ethereum,go-ethereum,41700,https://github.com/ethereum/go-ethereum
golang-standards,project-layout,38700,https://github.com/golang-standards/project-layout
minio,minio,38300,https://github.com/minio/minio
rclone,rclone,37700,https://github.com/rclone/rclone
youngyangyang04,leetcode-master,37200,https://github.com/youngyangyang04/leetcode-master
go-gitea,gitea,35700,https://github.com/go-gitea/gitea
