username,repo_name,stars,repo_url
google-research,bert,33700,https://github.com/google-research/bert
mxrch,GHunt,13500,https://github.com/mxrch/GHunt
google,yapf,13200,https://github.com/google/yapf
firebase,functions-samples,11600,https://github.com/firebase/functions-samples
googleapis,google-api-nodejs-client,10500,https://github.com/googleapis/google-api-nodejs-client
google,dopamine,10100,https://github.com/google/dopamine
infracost,infracost,8900,https://github.com/infracost/infracost
firebase,flutterfire,7600,https://github.com/firebase/flutterfire
selierlin,Share-SSR-V2ray,7500,https://github.com/selierlin/Share-SSR-V2ray
tensorlayer,TensorLayer,7200,https://github.com/tensorlayer/TensorLayer
tycrek,degoogle,6700,https://github.com/tycrek/degoogle
google-map-react,google-map-react,6000,https://github.com/google-map-react/google-map-react
jarun,googler,5900,https://github.com/jarun/googler
microg,GmsCore,5500,https://github.com/microg/GmsCore
Tapadoo,Alerter,5400,https://github.com/Tapadoo/Alerter
google,closure-library,4700,https://github.com/google/closure-library
lennylxx,ipv6-hosts,4500,https://github.com/lennylxx/ipv6-hosts
google,gts,4300,https://github.com/google/gts
cloudquery,cloudquery,4300,https://github.com/cloudquery/cloudquery
fontsource,fontsource,3600,https://github.com/fontsource/fontsource
