username,repo_name,stars,repo_url
twbs,bootstrap,163000,https://github.com/twbs/bootstrap
electron,electron,107000,https://github.com/electron/electron
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
microsoft,Web-Dev-For-Beginners,68300,https://github.com/microsoft/Web-Dev-For-Beginners
thedaviddias,Front-End-Checklist,64700,https://github.com/thedaviddias/Front-End-Checklist
h5bp,html5-boilerplate,54200,https://github.com/h5bp/html5-boilerplate
rails,rails,52600,https://github.com/rails/rails
jgthms,bulma,47000,https://github.com/jgthms/bulma
prettier,prettier,45200,https://github.com/prettier/prettier
parcel-bundler,parcel,42200,https://github.com/parcel-bundler/parcel
vercel,hyper,40600,https://github.com/vercel/hyper
yangshun,front-end-interview-handbook,37000,https://github.com/yangshun/front-end-interview-handbook
videojs,video.js,35300,https://github.com/videojs/video.js
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
tabler,tabler,33600,https://github.com/tabler/tabler
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
joshbuchea,HEAD,29600,https://github.com/joshbuchea/HEAD
layui,layui,27000,https://github.com/layui/layui
cheeriojs,cheerio,26200,https://github.com/cheeriojs/cheerio
haizlin,fe-interview,23300,https://github.com/haizlin/fe-interview
