username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,364000,https://github.com/freeCodeCamp/freeCodeCamp
EbookFoundation,free-programming-books,273000,https://github.com/EbookFoundation/free-programming-books
ohmyzsh,ohmyzsh,157000,https://github.com/ohmyzsh/ohmyzsh
TheAlgorithms,Python,156000,https://github.com/TheAlgorithms/Python
microsoft,vscode,144000,https://github.com/microsoft/vscode
axios,axios,99500,https://github.com/axios/axios
avelino,awesome-go,99100,https://github.com/avelino/awesome-go
huggingface,transformers,89400,https://github.com/huggingface/transformers
mui,material-ui,85500,https://github.com/mui/material-ui
iluwatar,java-design-patterns,80500,https://github.com/iluwatar/java-design-patterns
rust-lang,rust,79700,https://github.com/rust-lang/rust
florinpop17,app-ideas,63500,https://github.com/florinpop17/app-ideas
tauri-apps,tauri,61600,https://github.com/tauri-apps/tauri
chartjs,Chart.js,60200,https://github.com/chartjs/Chart.js
godotengine,godot,60000,https://github.com/godotengine/godot
home-assistant,core,59300,https://github.com/home-assistant/core
ansible,ansible,56900,https://github.com/ansible/ansible
mermaid-js,mermaid,56100,https://github.com/mermaid-js/mermaid
leonardomso,33-js-concepts,55600,https://github.com/leonardomso/33-js-concepts
nestjs,nest,55600,https://github.com/nestjs/nest
