username,repo_name,stars,repo_url
Homebrew,brew,35500,https://github.com/Homebrew/brew
github,hub,22400,https://github.com/github/hub
Homebrew,homebrew-cask,19900,https://github.com/Homebrew/homebrew-cask
Homebrew,homebrew-core,12300,https://github.com/Homebrew/homebrew-core
goreleaser,goreleaser,11400,https://github.com/goreleaser/goreleaser
Caldis,Mos,11000,https://github.com/Caldis/Mos
mas-cli,mas,9700,https://github.com/mas-cli/mas
IdreesInc,Monocraft,6400,https://github.com/IdreesInc/Monocraft
diasurgical,devilutionX,6300,https://github.com/diasurgical/devilutionX
geerlingguy,mac-dev-playbook,5200,https://github.com/geerlingguy/mac-dev-playbook
Homebrew,homebrew-bundle,4400,https://github.com/Homebrew/homebrew-bundle
LumaTeam,Luma3DS,4200,https://github.com/LumaTeam/Luma3DS
mock-server,mockserver,4100,https://github.com/mock-server/mockserver
paulirish,dotfiles,4100,https://github.com/paulirish/dotfiles
whalebrew,whalebrew,3700,https://github.com/whalebrew/whalebrew
cointop-sh,cointop,3600,https://github.com/cointop-sh/cointop
Linuxbrew,brew,2600,https://github.com/Linuxbrew/brew
nicoverbruggen,phpmon,2600,https://github.com/nicoverbruggen/phpmon
Homebrew,homebrew-cask-fonts,2600,https://github.com/Homebrew/homebrew-cask-fonts
nicknisi,dotfiles,2500,https://github.com/nicknisi/dotfiles
