username,repo_name,stars,repo_url
homebridge,homebridge,21700,https://github.com/homebridge/homebridge
oznu,docker-homebridge,2400,https://github.com/oznu/docker-homebridge
oznu,homebridge-config-ui-x,2300,https://github.com/oznu/homebridge-config-ui-x
YinHangCode,homebridge-mi-aqara,1100,https://github.com/YinHangCode/homebridge-mi-aqara
hjdhjd,homebridge-unifi-protect,1000,https://github.com/hjdhjd/homebridge-unifi-protect
Sunoo,homebridge-camera-ffmpeg,1000,https://github.com/Sunoo/homebridge-camera-ffmpeg
homebridge,homebridge-raspbian-image,939,https://github.com/homebridge/homebridge-raspbian-image
dgreif,ring,927,https://github.com/dgreif/ring
merdok,homebridge-webos-tv,588,https://github.com/merdok/homebridge-webos-tv
tavicu,homebridge-samsung-tizen,579,https://github.com/tavicu/homebridge-samsung-tizen
sieren,Homepoint,565,https://github.com/sieren/Homepoint
lprhodes,homebridge-broadlink-rm,563,https://github.com/lprhodes/homebridge-broadlink-rm
oznu,homebridge-syno-spk,529,https://github.com/oznu/homebridge-syno-spk
hoobs-org,HOOBS,520,https://github.com/hoobs-org/HOOBS
seydx,homebridge-camera-ui,493,https://github.com/seydx/homebridge-camera-ui
hjdhjd,homebridge-myq,420,https://github.com/hjdhjd/homebridge-myq
plasticrake,homebridge-tplink-smarthome,413,https://github.com/plasticrake/homebridge-tplink-smarthome
taligentx,dscKeybusInterface,407,https://github.com/taligentx/dscKeybusInterface
tonesto7,homebridge-smartthings,377,https://github.com/tonesto7/homebridge-smartthings
oznu,homebridge-gsh,358,https://github.com/oznu/homebridge-gsh
