username,repo_name,stars,repo_url
ipfs,ipfs,22000,https://github.com/ipfs/ipfs
lensterxyz,lenster,18900,https://github.com/lensterxyz/lenster
ipfs,kubo,14900,https://github.com/ipfs/kubo
smartcontractkit,full-blockchain-solidity-course-js,8300,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
orbitdb,orbit-db,7600,https://github.com/orbitdb/orbit-db
ipfs,js-ipfs,7400,https://github.com/ipfs/js-ipfs
berty,berty,6700,https://github.com/berty/berty
ipfs,ipfs-desktop,5100,https://github.com/ipfs/ipfs-desktop
book-searcher-org,book-searcher,5000,https://github.com/book-searcher-org/book-searcher
TeamPiped,Piped,4200,https://github.com/TeamPiped/Piped
ipfs,awesome-ipfs,4000,https://github.com/ipfs/awesome-ipfs
embarklabs,embark,3700,https://github.com/embarklabs/embark
lenstube-xyz,lenstube,3600,https://github.com/lenstube-xyz/lenstube
yjjnls,awesome-blockchain,2800,https://github.com/yjjnls/awesome-blockchain
hoochanlon,fq-book,2700,https://github.com/hoochanlon/fq-book
filecoin-project,lotus,2600,https://github.com/filecoin-project/lotus
graphprotocol,graph-node,2400,https://github.com/graphprotocol/graph-node
libp2p,js-libp2p,2000,https://github.com/libp2p/js-libp2p
ipfs,ipfs-companion,1900,https://github.com/ipfs/ipfs-companion
Peergos,Peergos,1600,https://github.com/Peergos/Peergos
