username,repo_name,stars,repo_url
tiangolo,fastapi,56100,https://github.com/tiangolo/fastapi
prettier,prettier,45200,https://github.com/prettier/prettier
chinese-poetry,chinese-poetry,39200,https://github.com/chinese-poetry/chinese-poetry
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
nlohmann,json,34300,https://github.com/nlohmann/json
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
httpie,httpie,27100,https://github.com/httpie/httpie
dromara,hutool,25800,https://github.com/dromara/hutool
alibaba,fastjson,25200,https://github.com/alibaba/fastjson
AykutSarac,jsoncrack.com,23400,https://github.com/AykutSarac/jsoncrack.com
codex-team,editor.js,22200,https://github.com/codex-team/editor.js
SwiftyJSON,SwiftyJSON,21900,https://github.com/SwiftyJSON/SwiftyJSON
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
urfave,cli,20000,https://github.com/urfave/cli
typicode,lowdb,19300,https://github.com/typicode/lowdb
simdjson,simdjson,16700,https://github.com/simdjson/simdjson
antonmedv,fx,16100,https://github.com/antonmedv/fx
modood,Administrative-divisions-of-China,14900,https://github.com/modood/Administrative-divisions-of-China
baidu,amis,13500,https://github.com/baidu/amis
rjsf-team,react-jsonschema-form,12500,https://github.com/rjsf-team/react-jsonschema-form
