username,repo_name,stars,repo_url
CyC2018,CS-Notes,163000,https://github.com/CyC2018/CS-Notes
Snailclimb,JavaGuide,132000,https://github.com/Snailclimb/JavaGuide
iluwatar,java-design-patterns,80500,https://github.com/iluwatar/java-design-patterns
doocs,advanced-java,69400,https://github.com/doocs/advanced-java
spring-projects,spring-boot,66400,https://github.com/spring-projects/spring-boot
macrozheng,mall,64500,https://github.com/macrozheng/mall
elastic,elasticsearch,63200,https://github.com/elastic/elasticsearch
kdn251,interviews,59500,https://github.com/kdn251/interviews
TheAlgorithms,Java,50900,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,50900,https://github.com/azl397985856/leetcode
google,guava,47100,https://github.com/google/guava
ReactiveX,RxJava,46900,https://github.com/ReactiveX/RxJava
square,okhttp,43800,https://github.com/square/okhttp
square,retrofit,41300,https://github.com/square/retrofit
apache,dubbo,38700,https://github.com/apache/dubbo
youngyangyang04,leetcode-master,37200,https://github.com/youngyangyang04/leetcode-master
PhilJay,MPAndroidChart,36300,https://github.com/PhilJay/MPAndroidChart
apache,spark,35400,https://github.com/apache/spark
jeecgboot,jeecg-boot,34100,https://github.com/jeecgboot/jeecg-boot
skylot,jadx,34000,https://github.com/skylot/jadx
