username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,364000,https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,205000,https://github.com/facebook/react
vuejs,vue,203000,https://github.com/vuejs/vue
getify,You-Dont-Know-JS,166000,https://github.com/getify/You-Dont-Know-JS
trekhleb,javascript-algorithms,166000,https://github.com/trekhleb/javascript-algorithms
twbs,bootstrap,163000,https://github.com/twbs/bootstrap
airbnb,javascript,133000,https://github.com/airbnb/javascript
30-seconds,30-seconds-of-code,109000,https://github.com/30-seconds/30-seconds-of-code
electron,electron,107000,https://github.com/electron/electron
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
axios,axios,99500,https://github.com/axios/axios
practical-tutorials,project-based-learning,96100,https://github.com/practical-tutorials/project-based-learning
nodejs,node,94300,https://github.com/nodejs/node
mrdoob,three.js,90400,https://github.com/mrdoob/three.js
microsoft,TypeScript,90000,https://github.com/microsoft/TypeScript
denoland,deno,88800,https://github.com/denoland/deno
goldbergyoni,nodebestpractices,87800,https://github.com/goldbergyoni/nodebestpractices
angular,angular,87200,https://github.com/angular/angular
mui,material-ui,85500,https://github.com/mui/material-ui
ryanmcdermott,clean-code-javascript,81000,https://github.com/ryanmcdermott/clean-code-javascript
