username,repo_name,stars,repo_url
jakevdp,PythonDataScienceHandbook,38000,https://github.com/jakevdp/PythonDataScienceHandbook
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,25500,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
ageron,handson-ml,25000,https://github.com/ageron/handson-ml
trekhleb,homemade-machine-learning,21100,https://github.com/trekhleb/homemade-machine-learning
MLEveryday,100-Days-Of-ML-Code,19600,https://github.com/MLEveryday/100-Days-Of-ML-Code
microsoft,recommenders,15400,https://github.com/microsoft/recommenders
emilwallner,Screenshot-to-code,14000,https://github.com/emilwallner/Screenshot-to-code
plotly,plotly.py,13200,https://github.com/plotly/plotly.py
chenyuntc,pytorch-book,10900,https://github.com/chenyuntc/pytorch-book
ydataai,ydata-profiling,10400,https://github.com/ydataai/ydata-profiling
jupyter,notebook,9900,https://github.com/jupyter/notebook
dunovank,jupyter-themes,9500,https://github.com/dunovank/jupyter-themes
marceloprates,prettymaps,9300,https://github.com/marceloprates/prettymaps
AkashSingh3031,The-Complete-FAANG-Preparation,8900,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
microsoft,computervision-recipes,8900,https://github.com/microsoft/computervision-recipes
aws,amazon-sagemaker-examples,8100,https://github.com/aws/amazon-sagemaker-examples
jupyter,docker-stacks,7200,https://github.com/jupyter/docker-stacks
jupyterhub,jupyterhub,7100,https://github.com/jupyterhub/jupyterhub
firmai,industry-machine-learning,6800,https://github.com/firmai/industry-machine-learning
Atcold,pytorch-Deep-Learning,6300,https://github.com/Atcold/pytorch-Deep-Learning
