username,repo_name,stars,repo_url
kubernetes,kubernetes,97100,https://github.com/kubernetes/kubernetes
netdata,netdata,62500,https://github.com/netdata/netdata
etcd-io,etcd,43000,https://github.com/etcd-io/etcd
traefik,traefik,42400,https://github.com/traefik/traefik
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
minio,minio,38300,https://github.com/minio/minio
Kong,kong,34400,https://github.com/Kong/kong
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
istio,istio,32700,https://github.com/istio/istio
hashicorp,consul,26200,https://github.com/hashicorp/consul
kubernetes,minikube,26200,https://github.com/kubernetes/minikube
alibaba,nacos,25900,https://github.com/alibaba/nacos
portainer,portainer,25000,https://github.com/portainer/portainer
dokku,dokku,24400,https://github.com/dokku/dokku
helm,helm,24000,https://github.com/helm/helm
openfaas,faas,22900,https://github.com/openfaas/faas
k3s-io,k3s,22700,https://github.com/k3s-io/k3s
MichaelCade,90DaysOfDevOps,22200,https://github.com/MichaelCade/90DaysOfDevOps
yeasy,docker_practice,22100,https://github.com/yeasy/docker_practice
GitHubDaily,GitHubDaily,21500,https://github.com/GitHubDaily/GitHubDaily
