username,repo_name,stars,repo_url
marktext,marktext,39200,https://github.com/marktext/marktext
HarisIqbal88,PlotNeuralNet,19100,https://github.com/HarisIqbal88/PlotNeuralNet
posquit0,Awesome-CV,18800,https://github.com/posquit0/Awesome-CV
KaTeX,KaTeX,16400,https://github.com/KaTeX/KaTeX
hmemcpy,milewski-ctfp-pdf,10100,https://github.com/hmemcpy/milewski-ctfp-pdf
mathjax,MathJax,9300,https://github.com/mathjax/MathJax
billryan,resume,7100,https://github.com/billryan/resume
garrettj403,SciencePlots,5100,https://github.com/garrettj403/SciencePlots
Wandmalfarbe,pandoc-latex-template,5000,https://github.com/Wandmalfarbe/pandoc-latex-template
lervag,vimtex,4500,https://github.com/lervag/vimtex
tuna,thuthesis,3900,https://github.com/tuna/thuthesis
google-research,arxiv-latex-cleaner,3800,https://github.com/google-research/arxiv-latex-cleaner
sb2nov,resume,3700,https://github.com/sb2nov/resume
retorquere,zotero-better-bibtex,3700,https://github.com/retorquere/zotero-better-bibtex
Keldos-Li,typora-latex-theme,3500,https://github.com/Keldos-Li/typora-latex-theme
Wookai,paper-tips-and-tricks,3400,https://github.com/Wookai/paper-tips-and-tricks
rstudio,bookdown,3300,https://github.com/rstudio/bookdown
lukas-blecher,LaTeX-OCR,3300,https://github.com/lukas-blecher/LaTeX-OCR
luong-komorebi,Begin-Latex-in-minutes,3200,https://github.com/luong-komorebi/Begin-Latex-in-minutes
JabRef,jabref,3000,https://github.com/JabRef/jabref
