username,repo_name,stars,repo_url
laravel,laravel,73000,https://github.com/laravel/laravel
laravel,framework,29300,https://github.com/laravel/framework
monicahq,monica,18900,https://github.com/monicahq/monica
barryvdh,laravel-debugbar,15100,https://github.com/barryvdh/laravel-debugbar
koel,koel,14600,https://github.com/koel/koel
flarum,flarum,13900,https://github.com/flarum/flarum
Intervention,image,13200,https://github.com/Intervention/image
CachetHQ,Cachet,13100,https://github.com/CachetHQ/Cachet
barryvdh,laravel-ide-helper,13000,https://github.com/barryvdh/laravel-ide-helper
roots,sage,12100,https://github.com/roots/sage
chiraggude,awesome-laravel,11700,https://github.com/chiraggude/awesome-laravel
SpartnerNL,Laravel-Excel,11400,https://github.com/SpartnerNL/Laravel-Excel
the-control-group,voyager,11400,https://github.com/the-control-group/voyager
BookStackApp,BookStack,11300,https://github.com/BookStackApp/BookStack
spatie,laravel-permission,11100,https://github.com/spatie/laravel-permission
octobercms,october,10800,https://github.com/octobercms/october
tymondesigns,jwt-auth,10800,https://github.com/tymondesigns/jwt-auth
alexeymezenin,laravel-best-practices,9400,https://github.com/alexeymezenin/laravel-best-practices
guyueyingmu,avbook,8800,https://github.com/guyueyingmu/avbook
laravel,lumen,7600,https://github.com/laravel/lumen
