username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,134000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,94300,https://github.com/nodejs/node
trimstray,the-book-of-secret-knowledge,93900,https://github.com/trimstray/the-book-of-secret-knowledge
atom,atom,59300,https://github.com/atom/atom
ventoy,Ventoy,47400,https://github.com/ventoy/Ventoy
alacritty,alacritty,45800,https://github.com/alacritty/alacritty
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
vercel,hyper,40600,https://github.com/vercel/hyper
FiloSottile,mkcert,40300,https://github.com/FiloSottile/mkcert
sherlock-project,sherlock,40100,https://github.com/sherlock-project/sherlock
rustdesk,rustdesk,40100,https://github.com/rustdesk/rustdesk
marktext,marktext,39200,https://github.com/marktext/marktext
PowerShell,PowerShell,37700,https://github.com/PowerShell/PowerShell
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
agalwood,Motrix,36500,https://github.com/agalwood/Motrix
nativefier,nativefier,33300,https://github.com/nativefier/nativefier
Z4nzu,hackingtool,29700,https://github.com/Z4nzu/hackingtool
lencx,ChatGPT,28800,https://github.com/lencx/ChatGPT
0xAX,linux-insides,28000,https://github.com/0xAX/linux-insides
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
