username,repo_name,stars,repo_url
AtsushiSakai,PythonRobotics,18000,https://github.com/AtsushiSakai/PythonRobotics
formatjs,formatjs,13600,https://github.com/formatjs/formatjs
frappe,erpnext,13100,https://github.com/frappe/erpnext
SwiftGen,SwiftGen,8500,https://github.com/SwiftGen/SwiftGen
Humanizr,Humanizer,7600,https://github.com/Humanizr/Humanizer
cartographer-project,cartographer,6400,https://github.com/cartographer-project/cartographer
lingui,js-lingui,3600,https://github.com/lingui/js-lingui
WeblateOrg,weblate,3500,https://github.com/WeblateOrg/weblate
jeremykenedy,laravel-auth,2800,https://github.com/jeremykenedy/laravel-auth
hybridsjs,hybrids,2800,https://github.com/hybridsjs/hybrids
github,relative-time-element,2700,https://github.com/github/relative-time-element
symfony,intl,2500,https://github.com/symfony/intl
aralroca,next-translate,2100,https://github.com/aralroca/next-translate
introlab,rtabmap,2000,https://github.com/introlab/rtabmap
ever-co,ever-traduora,1800,https://github.com/ever-co/ever-traduora
ivanhofer,typesafe-i18n,1500,https://github.com/ivanhofer/typesafe-i18n
igorkulman,iOSLocalizationEditor,1400,https://github.com/igorkulman/iOSLocalizationEditor
FlineDev,BartyCrouch,1300,https://github.com/FlineDev/BartyCrouch
overtrue,laravel-lang,1300,https://github.com/overtrue/laravel-lang
onlytailei,CppRobotics,1300,https://github.com/onlytailei/CppRobotics
