username,repo_name,stars,repo_url
neovim,neovim,64200,https://github.com/neovim/neovim
coolsnowwolf,lede,25400,https://github.com/coolsnowwolf/lede
SpaceVim,SpaceVim,19700,https://github.com/SpaceVim/SpaceVim
cocos2d,cocos2d-x,17000,https://github.com/cocos2d/cocos2d-x
NvChad,NvChad,15600,https://github.com/NvChad/NvChad
LunarVim,LunarVim,13800,https://github.com/LunarVim/LunarVim
lionsoul2014,ip2region,13100,https://github.com/lionsoul2014/ip2region
spotify,annoy,11000,https://github.com/spotify/annoy
Hammerspoon,hammerspoon,10200,https://github.com/Hammerspoon/hammerspoon
codota,TabNine,9900,https://github.com/codota/TabNine
nvim-telescope,telescope.nvim,9500,https://github.com/nvim-telescope/telescope.nvim
lk-geimfari,awesomo,8900,https://github.com/lk-geimfari/awesomo
minetest,minetest,8500,https://github.com/minetest/minetest
AstroNvim,AstroNvim,8400,https://github.com/AstroNvim/AstroNvim
Tencent,xLua,8300,https://github.com/Tencent/xLua
nmap,nmap,7600,https://github.com/nmap/nmap
nodemcu,nodemcu-firmware,7300,https://github.com/nodemcu/nodemcu-firmware
xmake-io,xmake,6800,https://github.com/xmake-io/xmake
brndnmtthws,conky,6100,https://github.com/brndnmtthws/conky
wbthomason,packer.nvim,6100,https://github.com/wbthomason/packer.nvim
