username,repo_name,stars,repo_url
tensorflow,tensorflow,173000,https://github.com/tensorflow/tensorflow
huggingface,transformers,89400,https://github.com/huggingface/transformers
pytorch,pytorch,64700,https://github.com/pytorch/pytorch
keras-team,keras,57800,https://github.com/keras-team/keras
Developer-Y,cs-video-courses,54200,https://github.com/Developer-Y/cs-video-courses
scikit-learn,scikit-learn,53600,https://github.com/scikit-learn/scikit-learn
tesseract-ocr,tesseract,50100,https://github.com/tesseract-ocr/tesseract
ageitgey,face_recognition,47800,https://github.com/ageitgey/face_recognition
microsoft,ML-For-Beginners,45700,https://github.com/microsoft/ML-For-Beginners
binhnguyennus,awesome-scalability,44400,https://github.com/binhnguyennus/awesome-scalability
deepfakes,faceswap,44200,https://github.com/deepfakes/faceswap
aymericdamien,TensorFlow-Examples,42700,https://github.com/aymericdamien/TensorFlow-Examples
JuliaLang,julia,42000,https://github.com/JuliaLang/julia
d2l-ai,d2l-zh,41200,https://github.com/d2l-ai/d2l-zh
Avik-Jain,100-Days-Of-ML-Code,40500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
iperov,DeepFaceLab,38300,https://github.com/iperov/DeepFaceLab
ultralytics,yolov5,36900,https://github.com/ultralytics/yolov5
BVLC,caffe,33200,https://github.com/BVLC/caffe
GokuMohandas,Made-With-ML,32900,https://github.com/GokuMohandas/Made-With-ML
google-research,google-research,28200,https://github.com/google-research/google-research
