username,repo_name,stars,repo_url
mastodon,mastodon,41000,https://github.com/mastodon/mastodon
elk-zone,elk,3200,https://github.com/elk-zone/elk
Dimillian,IceCubesApp,2700,https://github.com/Dimillian/IceCubesApp
TwidereProject,Twidere-Android,2700,https://github.com/TwidereProject/Twidere-Android
superseriousbusiness,gotosocial,2500,https://github.com/superseriousbusiness/gotosocial
tuskyapp,Tusky,2000,https://github.com/tuskyapp/Tusky
mastodon,documentation,1600,https://github.com/mastodon/documentation
mastodon,mastodon-ios,1600,https://github.com/mastodon/mastodon-ios
mastodon,mastodon-android,1300,https://github.com/mastodon/mastodon-android
nolanlawson,pinafore,1000,https://github.com/nolanlawson/pinafore
ihabunek,toot,937,https://github.com/ihabunek/toot
joyeusenoelle,GuideToMastodon,844,https://github.com/joyeusenoelle/GuideToMastodon
h3poteto,whalebird-desktop,817,https://github.com/h3poteto/whalebird-desktop
renatolond,mastodon-twitter-poster,797,https://github.com/renatolond/mastodon-twitter-poster
rustodon,rustodon,780,https://github.com/rustodon/rustodon
tleb,awesome-mastodon,761,https://github.com/tleb/awesome-mastodon
nathanlesage,academics-on-mastodon,748,https://github.com/nathanlesage/academics-on-mastodon
halcy,Mastodon.py,726,https://github.com/halcy/Mastodon.py
metabolist,metatext,721,https://github.com/metabolist/metatext
kha7iq,pingme,610,https://github.com/kha7iq/pingme
