username,repo_name,stars,repo_url
flutter,flutter,152000,https://github.com/flutter/flutter
facebook,react-native,109000,https://github.com/facebook/react-native
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
Solido,awesome-flutter,46100,https://github.com/Solido/awesome-flutter
fastlane,fastlane,36800,https://github.com/fastlane/fastlane
nolimits4web,swiper,34700,https://github.com/nolimits4web/swiper
jondot,awesome-react-native,32700,https://github.com/jondot/awesome-react-native
youzan,vant,21100,https://github.com/youzan/vant
expo,expo,19800,https://github.com/expo/expo
alibaba,weex,18100,https://github.com/alibaba/weex
matomo-org,matomo,17500,https://github.com/matomo-org/matomo
AvaloniaUI,Avalonia,17400,https://github.com/AvaloniaUI/Avalonia
framework7io,framework7,17100,https://github.com/framework7io/framework7
ElemeFE,mint-ui,16600,https://github.com/ElemeFE/mint-ui
realm,realm-swift,15800,https://github.com/realm/realm-swift
Tencent,vConsole,15500,https://github.com/Tencent/vConsole
liriliri,eruda,13800,https://github.com/liriliri/eruda
aurelia,framework,11700,https://github.com/aurelia/framework
taye,interact.js,11400,https://github.com/taye/interact.js
realm,realm-java,11400,https://github.com/realm/realm-java
