username,repo_name,stars,repo_url
monero-project,monero,7700,https://github.com/monero-project/monero
xmrig,xmrig,7500,https://github.com/xmrig/xmrig
yjjnls,awesome-blockchain,2800,https://github.com/yjjnls/awesome-blockchain
cazala,coin-hive,1900,https://github.com/cazala/coin-hive
MultiPoolMiner,MultiPoolMiner,855,https://github.com/MultiPoolMiner/MultiPoolMiner
Cyclenerd,ethereum_nvidia_miner,834,https://github.com/Cyclenerd/ethereum_nvidia_miner
darkrenaissance,darkfi,822,https://github.com/darkrenaissance/darkfi
SChernykh,p2pool,703,https://github.com/SChernykh/p2pool
xmrig,xmrig-nvidia,653,https://github.com/xmrig/xmrig-nvidia
UnamSanctam,SilentCryptoMiner,640,https://github.com/UnamSanctam/SilentCryptoMiner
oliverw,miningcore,633,https://github.com/oliverw/miningcore
lucasjones,cpuminer-multi,607,https://github.com/lucasjones/cpuminer-multi
haveno-dex,haveno,598,https://github.com/haveno-dex/haveno
nanopool,nanominer,582,https://github.com/nanopool/nanominer
AleoHQ,wagyu,557,https://github.com/AleoHQ/wagyu
deepwn,deepMiner,535,https://github.com/deepwn/deepMiner
xmrig,xmrig-proxy,525,https://github.com/xmrig/xmrig-proxy
comit-network,xmr-btc-swap,510,https://github.com/comit-network/xmr-btc-swap
bradoyler,xmr-miner,494,https://github.com/bradoyler/xmr-miner
UnamSanctam,SilentXMRMiner,485,https://github.com/UnamSanctam/SilentXMRMiner
