username,repo_name,stars,repo_url
bailicangdu,node-elm,11900,https://github.com/bailicangdu/node-elm
hagopj13,node-express-boilerplate,5300,https://github.com/hagopj13/node-express-boilerplate
santiq,bulletproof-nodejs,5100,https://github.com/santiq/bulletproof-nodejs
madhums,node-express-mongoose-demo,5100,https://github.com/madhums/node-express-mongoose-demo
async-labs,builderbook,3500,https://github.com/async-labs/builderbook
async-labs,saas,3400,https://github.com/async-labs/saas
kunalkapadia,express-mongoose-es6-rest-api,2900,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
konstantinmuenster,notion-clone,2600,https://github.com/konstantinmuenster/notion-clone
developit,express-es6-rest-api,2400,https://github.com/developit/express-es6-rest-api
emadehsan,thal,2400,https://github.com/emadehsan/thal
ladjs,lad,2200,https://github.com/ladjs/lad
janishar,nodejs-backend-architecture-typescript,2200,https://github.com/janishar/nodejs-backend-architecture-typescript
nodkz,mongodb-memory-server,2200,https://github.com/nodkz/mongodb-memory-server
danielfsousa,express-rest-boilerplate,2100,https://github.com/danielfsousa/express-rest-boilerplate
ljlm0402,typescript-express-starter,2000,https://github.com/ljlm0402/typescript-express-starter
typegoose,typegoose,2000,https://github.com/typegoose/typegoose
Nealyang,React-Express-Blog-Demo,1900,https://github.com/Nealyang/React-Express-Blog-Demo
diegohaz,rest,1700,https://github.com/diegohaz/rest
basir,node-react-ecommerce,1500,https://github.com/basir/node-react-ecommerce
OmarElgabry,chat.io,1400,https://github.com/OmarElgabry/chat.io
