username,repo_name,stars,repo_url
MvvmCross,MvvmCross,3800,https://github.com/MvvmCross/MvvmCross
MvvmCross,MvvmCross-Samples,329,https://github.com/MvvmCross/MvvmCross-Samples
MvvmCross,NPlus1DaysOfMvvmCross,150,https://github.com/MvvmCross/NPlus1DaysOfMvvmCross
Baseflow,Chameleon,147,https://github.com/Baseflow/Chameleon
Plac3hold3r,MvxScaffolding,123,https://github.com/Plac3hold3r/MvxScaffolding
Cheesebaron,Cheesebaron.MvxPlugins,89,https://github.com/Cheesebaron/Cheesebaron.MvxPlugins
Nethereum,Nethereum.UI.Wallet.Sample,75,https://github.com/Nethereum/Nethereum.UI.Wallet.Sample
Baseflow,MvxForms,46,https://github.com/Baseflow/MvxForms
DominicMaas,SoundByteOSS,44,https://github.com/DominicMaas/SoundByteOSS
rogerwcpt,xamarin-mvvvm-frameworks,44,https://github.com/rogerwcpt/xamarin-mvvvm-frameworks
grendio,XBottomSheet,35,https://github.com/grendio/XBottomSheet
mgj,MvvmCross-Dreams,31,https://github.com/mgj/MvvmCross-Dreams
JTOne123,XamFormsMvxTemplate,27,https://github.com/JTOne123/XamFormsMvxTemplate
softlion,XamSvg-Samples,25,https://github.com/softlion/XamSvg-Samples
zleao,MvvmCross-Extensions,21,https://github.com/zleao/MvvmCross-Extensions
nmilcoff,TagsView,20,https://github.com/nmilcoff/TagsView
AppRopio,AppRopio.Mobile,18,https://github.com/AppRopio/AppRopio.Mobile
jimbobbennett,MvvmCross-VisualStudioAddIn,14,https://github.com/jimbobbennett/MvvmCross-VisualStudioAddIn
entdark,JKChat,13,https://github.com/entdark/JKChat
TorisanKitsune,MinoriEditorShell,13,https://github.com/TorisanKitsune/MinoriEditorShell
