username,repo_name,stars,repo_url
Snailclimb,JavaGuide,132000,https://github.com/Snailclimb/JavaGuide
macrozheng,mall,64500,https://github.com/macrozheng/mall
grafana,grafana,54700,https://github.com/grafana/grafana
strapi,strapi,52800,https://github.com/strapi/strapi
nocodb,nocodb,35200,https://github.com/nocodb/nocodb
0voice,interview_internal_reference,34700,https://github.com/0voice/interview_internal_reference
pingcap,tidb,33700,https://github.com/pingcap/tidb
AobingJava,JavaFamily,33500,https://github.com/AobingJava/JavaFamily
metabase,metabase,31900,https://github.com/metabase/metabase
dbeaver,dbeaver,31300,https://github.com/dbeaver/dbeaver
typeorm,typeorm,30900,https://github.com/typeorm/typeorm
prisma,prisma,30200,https://github.com/prisma/prisma
hasura,graphql-engine,29500,https://github.com/hasura/graphql-engine
sequelize,sequelize,27700,https://github.com/sequelize/sequelize
hollischuang,toBeTopJavaer,24500,https://github.com/hollischuang/toBeTopJavaer
getredash,redash,22900,https://github.com/getredash/redash
directus,directus,20800,https://github.com/directus/directus
apache,shardingsphere,18200,https://github.com/apache/shardingsphere
mysqljs,mysql,17700,https://github.com/mysqljs/mysql
matomo-org,matomo,17500,https://github.com/matomo-org/matomo
