username,repo_name,stars,repo_url
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
nativescript-vue,nativescript-vue,5100,https://github.com/nativescript-vue/nativescript-vue
alibaba,LuaViewSDK,3700,https://github.com/alibaba/LuaViewSDK
ngx-formly,ngx-formly,2500,https://github.com/ngx-formly/ngx-formly
NathanWalker,angular-seed-advanced,2300,https://github.com/NathanWalker/angular-seed-advanced
momotech,MLN,1600,https://github.com/momotech/MLN
NativeScript,nativescript-angular,1200,https://github.com/NativeScript/nativescript-angular
NativeScript,nativescript-cli,1000,https://github.com/NativeScript/nativescript-cli
EddyVerbruggen,nativescript-plugin-firebase,1000,https://github.com/EddyVerbruggen/nativescript-plugin-firebase
NativeScript,android,477,https://github.com/NativeScript/android
NativeScript,docs-v7,448,https://github.com/NativeScript/docs-v7
nstudio,xplat,349,https://github.com/nstudio/xplat
OpenNative,open-native,349,https://github.com/OpenNative/open-native
ShadowApex,godot-go,340,https://github.com/ShadowApex/godot-go
tralves,groceries-ns-vue,300,https://github.com/tralves/groceries-ns-vue
NativeScript,ios-jsc,294,https://github.com/NativeScript/ios-jsc
EddyVerbruggen,nativescript-barcodescanner,290,https://github.com/EddyVerbruggen/nativescript-barcodescanner
nstudio,nativescript-cardview,282,https://github.com/nstudio/nativescript-cardview
shirakaba,react-nativescript,268,https://github.com/shirakaba/react-nativescript
TeamMaestro,angular-native-seed,267,https://github.com/TeamMaestro/angular-native-seed
