username,repo_name,stars,repo_url
huggingface,transformers,89400,https://github.com/huggingface/transformers
apachecn,ailearning,35000,https://github.com/apachecn/ailearning
google-research,bert,33700,https://github.com/google-research/bert
hankcs,HanLP,28600,https://github.com/hankcs/HanLP
explosion,spaCy,25700,https://github.com/explosion/spaCy
RasaHQ,rasa,15900,https://github.com/RasaHQ/rasa
huggingface,datasets,15700,https://github.com/huggingface/datasets
oxford-cs-deepnlp-2017,lectures,15500,https://github.com/oxford-cs-deepnlp-2017/lectures
keon,awesome-nlp,14500,https://github.com/keon/awesome-nlp
RaRe-Technologies,gensim,14100,https://github.com/RaRe-Technologies/gensim
bharathgs,Awesome-pytorch-list,13900,https://github.com/bharathgs/Awesome-pytorch-list
NLP-LOVE,ML-NLP,13500,https://github.com/NLP-LOVE/ML-NLP
virgili0,Virgilio,13400,https://github.com/virgili0/Virgilio
ml-tooling,best-of-ml-python,13200,https://github.com/ml-tooling/best-of-ml-python
flairNLP,flair,12600,https://github.com/flairNLP/flair
graykode,nlp-tutorial,12300,https://github.com/graykode/nlp-tutorial
ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,12100,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
nltk,nltk,11700,https://github.com/nltk/nltk
microsoft,unilm,11600,https://github.com/microsoft/unilm
allenai,allennlp,11400,https://github.com/allenai/allennlp
