username,repo_name,stars,repo_url
nim-lang,Nim,14800,https://github.com/nim-lang/Nim
zedeus,nitter,7000,https://github.com/zedeus/nitter
kaitai-io,kaitai_struct,3400,https://github.com/kaitai-io/kaitai_struct
Dav1dde,glad,3000,https://github.com/Dav1dde/glad
dom96,jester,1400,https://github.com/dom96/jester
nim-lang,nimble,1100,https://github.com/nim-lang/nimble
mratsim,Arraymancer,1100,https://github.com/mratsim/Arraymancer
planety,prologue,1100,https://github.com/planety/prologue
yglukhov,nimx,972,https://github.com/yglukhov/nimx
aduros,wasm4,825,https://github.com/aduros/wasm4
Pebaz,nimporter,746,https://github.com/Pebaz/nimporter
nim-lang,nimforum,730,https://github.com/nim-lang/nimforum
ringabout,awesome-nim,727,https://github.com/ringabout/awesome-nim
codic12,worm,655,https://github.com/codic12/worm
VPashkov,awesome-nim,647,https://github.com/VPashkov/awesome-nim
simonkrauter,NiGui,626,https://github.com/simonkrauter/NiGui
arnetheduck,nlvm,605,https://github.com/arnetheduck/nlvm
dom96,choosenim,589,https://github.com/dom96/choosenim
inim-repl,INim,588,https://github.com/inim-repl/INim
dom96,nimkernel,588,https://github.com/dom96/nimkernel
