username,repo_name,stars,repo_url
dbeaver,dbeaver,31300,https://github.com/dbeaver/dbeaver
mongodb,mongo,23500,https://github.com/mongodb/mongo
surrealdb,surrealdb,19200,https://github.com/surrealdb/surrealdb
pubkey,rxdb,19000,https://github.com/pubkey/rxdb
arangodb,arangodb,12900,https://github.com/arangodb/arangodb
CodisLabs,codis,12800,https://github.com/CodisLabs/codis
neo4j,neo4j,11200,https://github.com/neo4j/neo4j
mongodb,node-mongodb-native,9700,https://github.com/mongodb/node-mongodb-native
scylladb,scylladb,9600,https://github.com/scylladb/scylladb
appbaseio,dejavu,8100,https://github.com/appbaseio/dejavu
mbdavid,LiteDB,7400,https://github.com/mbdavid/LiteDB
madd86,awesome-system-design,6700,https://github.com/madd86/awesome-system-design
linkedin,school-of-sre,6000,https://github.com/linkedin/school-of-sre
apache,zeppelin,6000,https://github.com/apache/zeppelin
oracle,docker-images,5900,https://github.com/oracle/docker-images
msiemens,tinydb,5800,https://github.com/msiemens/tinydb
OpenAtomFoundation,pika,5000,https://github.com/OpenAtomFoundation/pika
orientechnologies,orientdb,4600,https://github.com/orientechnologies/orientdb
dzharii,awesome-elasticsearch,4600,https://github.com/dzharii/awesome-elasticsearch
cube2222,octosql,4400,https://github.com/cube2222/octosql
