username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,364000,https://github.com/freeCodeCamp/freeCodeCamp
30-seconds,30-seconds-of-code,109000,https://github.com/30-seconds/30-seconds-of-code
electron,electron,107000,https://github.com/electron/electron
axios,axios,99500,https://github.com/axios/axios
nodejs,node,94300,https://github.com/nodejs/node
goldbergyoni,nodebestpractices,87800,https://github.com/goldbergyoni/nodebestpractices
nvm-sh,nvm,65900,https://github.com/nvm-sh/nvm
expressjs,express,60400,https://github.com/expressjs/express
socketio,socket.io,57900,https://github.com/socketio/socket.io
leonardomso,33-js-concepts,55600,https://github.com/leonardomso/33-js-concepts
nestjs,nest,55600,https://github.com/nestjs/nest
strapi,strapi,52800,https://github.com/strapi/strapi
sindresorhus,awesome-nodejs,50500,https://github.com/sindresorhus/awesome-nodejs
meteor,meteor,43400,https://github.com/meteor/meteor
TryGhost,Ghost,42800,https://github.com/TryGhost/Ghost
oven-sh,bun,40300,https://github.com/oven-sh/bun
nwjs,nw.js,39500,https://github.com/nwjs/nw.js
Unitech,pm2,38800,https://github.com/Unitech/pm2
google,zx,36900,https://github.com/google/zx
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
