username,repo_name,stars,repo_url
vsouza,awesome-ios,42400,https://github.com/vsouza/awesome-ios
serhii-londar,open-source-mac-os-apps,34800,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,34200,https://github.com/dkhamsing/open-source-ios-apps
SDWebImage,SDWebImage,24500,https://github.com/SDWebImage/SDWebImage
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
hackiftekhar,IQKeyboardManager,16000,https://github.com/hackiftekhar/IQKeyboardManager
realm,realm-swift,15800,https://github.com/realm/realm-swift
OpenEmu,OpenEmu,14800,https://github.com/OpenEmu/OpenEmu
CocoaPods,CocoaPods,14000,https://github.com/CocoaPods/CocoaPods
facebook,infer,13900,https://github.com/facebook/infer
CoderMJLee,MJRefresh,13700,https://github.com/CoderMJLee/MJRefresh
kyleneideck,BackgroundMusic,13300,https://github.com/kyleneideck/BackgroundMusic
CocoaLumberjack,CocoaLumberjack,12900,https://github.com/CocoaLumberjack/CocoaLumberjack
Instagram,IGListKit,12600,https://github.com/Instagram/IGListKit
SVProgressHUD,SVProgressHUD,12400,https://github.com/SVProgressHUD/SVProgressHUD
halfrost,Halfrost-Field,12000,https://github.com/halfrost/Halfrost-Field
Mantle,Mantle,11300,https://github.com/Mantle/Mantle
Tim9Liu9,TimLiu-iOS,11200,https://github.com/Tim9Liu9/TimLiu-iOS
futurice,ios-good-practices,10700,https://github.com/futurice/ios-good-practices
WenchaoD,FSCalendar,10300,https://github.com/WenchaoD/FSCalendar
