username,repo_name,stars,repo_url
alacritty,alacritty,45800,https://github.com/alacritty/alacritty
kovidgoyal,kitty,18200,https://github.com/kovidgoyal/kitty
ssloy,tinyrenderer,16500,https://github.com/ssloy/tinyrenderer
google,filament,15500,https://github.com/google/filament
lettier,3d-game-shaders-for-beginners,14900,https://github.com/lettier/3d-game-shaders-for-beginners
bkaradzic,bgfx,12800,https://github.com/bkaradzic/bgfx
raysan5,raylib,12500,https://github.com/raysan5/raylib
SFTtech,openage,11600,https://github.com/SFTtech/openage
OpenRCT2,OpenRCT2,11600,https://github.com/OpenRCT2/OpenRCT2
glfw,glfw,10400,https://github.com/glfw/glfw
fogleman,Craft,9700,https://github.com/fogleman/Craft
openframeworks,openFrameworks,9300,https://github.com/openframeworks/openFrameworks
cats-oss,android-gpuimage,8600,https://github.com/cats-oss/android-gpuimage
SFML,SFML,8600,https://github.com/SFML/SFML
isl-org,Open3D,8400,https://github.com/isl-org/Open3D
g-truc,glm,7400,https://github.com/g-truc/glm
baldurk,renderdoc,7300,https://github.com/baldurk/renderdoc
gfx-rs,wgpu,7100,https://github.com/gfx-rs/wgpu
olive-editor,olive,6900,https://github.com/olive-editor/olive
openscad,openscad,5500,https://github.com/openscad/openscad
