username,repo_name,stars,repo_url
huihut,interview,28300,https://github.com/huihut/interview
SerenityOS,serenity,24300,https://github.com/SerenityOS/serenity
Awesome-HarmonyOS,HarmonyOS,18700,https://github.com/Awesome-HarmonyOS/HarmonyOS
redox-os,redox,14400,https://github.com/redox-os/redox
reactos,reactos,12200,https://github.com/reactos/reactos
s-matyukevich,raspberry-pi-os,12100,https://github.com/s-matyukevich/raspberry-pi-os
phil-opp,blog_os,11800,https://github.com/phil-opp/blog_os
rust-embedded,rust-raspberrypi-OS-tutorials,10800,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
tuhdo,os01,10700,https://github.com/tuhdo/os01
AkashSingh3031,The-Complete-FAANG-Preparation,8900,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
wolverinn,Waking-Up,8700,https://github.com/wolverinn/Waking-Up
gurugio,lowlevelprogramming-university,8300,https://github.com/gurugio/lowlevelprogramming-university
bottlerocket-os,bottlerocket,7200,https://github.com/bottlerocket-os/bottlerocket
NodeOS,NodeOS,6800,https://github.com/NodeOS/NodeOS
klange,toaruos,5500,https://github.com/klange/toaruos
yourtion,30dayMakeOS,5000,https://github.com/yourtion/30dayMakeOS
ravynsoft,ravynos,4900,https://github.com/ravynsoft/ravynos
includeos,IncludeOS,4700,https://github.com/includeos/IncludeOS
tock,tock,4200,https://github.com/tock/tock
oshi,oshi,3700,https://github.com/oshi/oshi
