username,repo_name,stars,repo_url
bitcoin,bitcoin,68900,https://github.com/bitcoin/bitcoin
syncthing,syncthing,50300,https://github.com/syncthing/syncthing
ethereum,go-ethereum,41700,https://github.com/ethereum/go-ethereum
rustdesk,rustdesk,40100,https://github.com/rustdesk/rustdesk
webtorrent,webtorrent,27700,https://github.com/webtorrent/webtorrent
ipfs,ipfs,22000,https://github.com/ipfs/ipfs
HelloZeroNet,ZeroNet,17800,https://github.com/HelloZeroNet/ZeroNet
amark,gun,17100,https://github.com/amark/gun
Chocobozzz,PeerTube,11600,https://github.com/Chocobozzz/PeerTube
yjs,yjs,11100,https://github.com/yjs/yjs
peers,peerjs,11100,https://github.com/peers/peerjs
pion,webrtc,11000,https://github.com/pion/webrtc
webtorrent,webtorrent-desktop,9200,https://github.com/webtorrent/webtorrent-desktop
monero-project,monero,7700,https://github.com/monero-project/monero
orbitdb,orbit-db,7600,https://github.com/orbitdb/orbit-db
ipfs,js-ipfs,7400,https://github.com/ipfs/js-ipfs
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
feross,simple-peer,6700,https://github.com/feross/simple-peer
beakerbrowser,beaker,6700,https://github.com/beakerbrowser/beaker
berty,berty,6700,https://github.com/berty/berty
