username,repo_name,stars,repo_url
laravel,laravel,73000,https://github.com/laravel/laravel
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
laravel,framework,29300,https://github.com/laravel/framework
ziadoz,awesome-php,28400,https://github.com/ziadoz/awesome-php
symfony,symfony,28200,https://github.com/symfony/symfony
composer,composer,27500,https://github.com/composer/composer
guzzle,guzzle,22500,https://github.com/guzzle/guzzle
nextcloud,server,21900,https://github.com/nextcloud/server
DesignPatternsPHP,DesignPatternsPHP,21200,https://github.com/DesignPatternsPHP/DesignPatternsPHP
Seldaek,monolog,20300,https://github.com/Seldaek/monolog
PHPMailer,PHPMailer,19300,https://github.com/PHPMailer/PHPMailer
sebastianbergmann,phpunit,19000,https://github.com/sebastianbergmann/phpunit
monicahq,monica,18900,https://github.com/monicahq/monica
bcit-ci,CodeIgniter,18200,https://github.com/bcit-ci/CodeIgniter
swoole,swoole-src,17800,https://github.com/swoole/swoole-src
facebook,hhvm,17600,https://github.com/facebook/hhvm
matomo-org,matomo,17500,https://github.com/matomo-org/matomo
nikic,PHP-Parser,16100,https://github.com/nikic/PHP-Parser
erusev,parsedown,14400,https://github.com/erusev/parsedown
antlr,antlr4,14100,https://github.com/antlr/antlr4
