username,repo_name,stars,repo_url
kitao,pyxel,11600,https://github.com/kitao/pyxel
pico-8,awesome-PICO-8,2300,https://github.com/pico-8/awesome-PICO-8
picolove,picolove,642,https://github.com/picolove/picolove
jtothebell,fake-08,363,https://github.com/jtothebell/fake-08
dansanderson,picotool,328,https://github.com/dansanderson/picotool
Liquidream,scumm-8,293,https://github.com/Liquidream/scumm-8
Jakz,retro8,220,https://github.com/Jakz/retro8
torch2424,picoDeploy,200,https://github.com/torch2424/picoDeploy
0xcafed00d,tac08,174,https://github.com/0xcafed00d/tac08
wh0am1-dev,pico8-api,141,https://github.com/wh0am1-dev/pico8-api
seleb,PICO-8-Token-Optimizations,119,https://github.com/seleb/PICO-8-Token-Optimizations
egordorichev,neko8,102,https://github.com/egordorichev/neko8
gamax92,picolove,92,https://github.com/gamax92/picolove
movAX13h,P8Coder,89,https://github.com/movAX13h/P8Coder
Feneric,Minima,83,https://github.com/Feneric/Minima
juanitogan,p8-programming-fonts,74,https://github.com/juanitogan/p8-programming-fonts
JoebRogers,PICO-Tween,68,https://github.com/JoebRogers/PICO-Tween
freds72,pico8,68,https://github.com/freds72/pico8
yocto-8,yocto-8,68,https://github.com/yocto-8/yocto-8
jspicl,jspicl,62,https://github.com/jspicl/jspicl
