username,repo_name,stars,repo_url
angular,angular,87200,https://github.com/angular/angular
hoppscotch,hoppscotch,50700,https://github.com/hoppscotch/hoppscotch
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
freeCodeCamp,devdocs,31200,https://github.com/freeCodeCamp/devdocs
GoogleChrome,lighthouse,26300,https://github.com/GoogleChrome/lighthouse
quasarframework,quasar,23200,https://github.com/quasarframework/quasar
qier222,YesPlayMusic,22600,https://github.com/qier222/YesPlayMusic
RobinLinus,snapdrop,15200,https://github.com/RobinLinus/snapdrop
Lissy93,dashy,10200,https://github.com/Lissy93/dashy
vuestorefront,vue-storefront,10100,https://github.com/vuestorefront/vue-storefront
aws-amplify,amplify-js,9200,https://github.com/aws-amplify/amplify-js
ionic-team,capacitor,9100,https://github.com/ionic-team/capacitor
OnsenUI,OnsenUI,8700,https://github.com/OnsenUI/OnsenUI
alibaba,rax,7900,https://github.com/alibaba/rax
maxence-charriere,go-app,6900,https://github.com/maxence-charriere/go-app
andreasbm,web-skills,6400,https://github.com/andreasbm/web-skills
angus-c,just,5000,https://github.com/angus-c/just
TalAter,UpUp,4900,https://github.com/TalAter/UpUp
lauragift21,awesome-learning-resources,4900,https://github.com/lauragift21/awesome-learning-resources
BuilderIO,builder,4800,https://github.com/BuilderIO/builder
